genotype,background,temperature,fluctuation,day.length,vernalization,survival.bolt,bolt,days.to.bolt,days.to.flower,rosette.leaf.num,cauline.leaf.num,blade.length.mm,total.leaf.length.mm,blade.ratio
fve-3,Col,22,Var,16,NV,Y,Y,40,48,33,4,NA,NA,NA
fve-3,Col,22,Var,16,NV,Y,Y,42,49,27,6,NA,NA,NA
fve-3,Col,22,Var,16,NV,Y,Y,46,55,33,5,NA,NA,NA
fve-3,Col,22,Var,16,NV,Y,Y,46,54,33,5,NA,NA,NA
fve-3,Col,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
fve-3,Col,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
fve-3,Col,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
fve-3,Col,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,12,Con,16,NV,Y,Y,48,64,38,8,25,41.5,0.602409639
ld-1,Col,12,Con,16,NV,Y,Y,50,62,34,6,19.2,31.5,0.60952381
ld-1,Col,12,Con,16,NV,Y,Y,52,64,37,8,20,33.7,0.59347181
ld-1,Col,12,Con,16,NV,Y,Y,53,66,33,7,24,41,0.585365854
ld-1,Col,12,Con,16,NV,Y,Y,54,68,35,8,22.2,36.1,0.614958449
ld-1,Col,12,Con,16,NV,Y,Y,56,71,42,8,25.2,40.1,0.628428928
ld-1,Col,12,Con,16,NV,Y,Y,57,73,39,10,26.7,40.8,0.654411765
ld-1,Col,12,Con,16,NV,Y,Y,61,76,NA,NA,22.8,36.9,0.617886179
ld-1,Col,12,Con,8,NV,Y,Y,98,123,68,11,22.1,36.2,0.610497238
ld-1,Col,12,Con,8,NV,Y,Y,102,120,68,9,20.2,35.1,0.575498575
ld-1,Col,12,Con,8,NV,Y,Y,102,121,73,8,23.6,37.3,0.632707775
ld-1,Col,12,Con,8,NV,Y,Y,103,123,67,11,19.9,34.3,0.580174927
ld-1,Col,12,Con,8,NV,Y,Y,108,127,67,10,25.4,39.7,0.639798489
ld-1,Col,12,Con,8,NV,Y,Y,109,132,66,8,21.9,32.7,0.669724771
ld-1,Col,12,Con,8,NV,Y,Y,109,130,62,9,25.2,37.2,0.677419355
ld-1,Col,12,Con,8,NV,Y,Y,109,131,69,10,30.8,51.5,0.598058252
ld-1,Col,12,Var,16,NV,Y,Y,57,70,37,9,23.1,38.3,0.603133159
ld-1,Col,12,Var,16,NV,Y,Y,61,76,44,10,29.9,52.2,0.572796935
ld-1,Col,12,Var,16,NV,Y,Y,63,80,41,9,27.6,40,0.69
ld-1,Col,12,Var,16,NV,Y,Y,64,78,38,13,22.1,39.2,0.56377551
ld-1,Col,12,Var,16,NV,Y,Y,64,81,31,11,24.3,41.3,0.588377724
ld-1,Col,12,Var,16,NV,Y,Y,64,79,47,9,24.8,40.7,0.609336609
